uri|name|danceability|energy|loudness|speechiness|acousticness|instrumentalness|liveness|valence|tempo|duration_ms|popularity|explicit|album_name|artist_name_1|artist_uri_1|artist_name_2|artist_uri_2|release_album_date
spotify:track:3528IXKpbb7OMjdjWYlbfD|Everybody Talks|0.471|0.924|-3.906|0.0586|0.00301|0.0|0.313|0.725|154.961|177280|57|False|Picture Show (Deluxe Edition)|Neon Trees|spotify:artist:0RpddSzUHfncUWNJXKOsjy|||2012-01-01
spotify:track:7AEAGTc8cReDqcbPoY9gwo|We Are Never Ever Getting Back Together|0.628|0.676|-5.911|0.0916|0.00957|2.65e-05|0.102|0.75|85.984|191880|64|False|Red|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2012-10-22
spotify:track:273dCMFseLcVsoSWx59IoE|Bad Blood|0.65|0.802|-6.114|0.181|0.0871|6.54e-06|0.148|0.295|170.146|211933|70|False|1989|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2014-10-27
spotify:track:1X1DWw2pcNZ8zSub3uhlNz|Hall of Fame (feat. will.i.am)|0.421|0.873|-4.343|0.0564|0.0654|0.0|0.123|0.629|84.786|202533|73|False|#3|The Script|spotify:artist:3AQRLZ9PuTAozP28Skbq8V|will.i.am|spotify:artist:085pc2PYOi8bGKj0PNjekA|2012-09-10
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ|Payphone|0.739|0.756|-4.828|0.0394|0.0136|0.0|0.37|0.523|110.028|231386|79|True|Overexposed|Maroon 5|spotify:artist:04gDigrS5kc9YWfZHwBETP|Wiz Khalifa|spotify:artist:137W8MRPWKqSmrBGDBFSop|2012-01-01
spotify:track:2iuZJX9X9P0GKaE93xcPjk|Sugar|0.748|0.788|-7.055|0.0334|0.0591|0.0|0.0863|0.884|120.076|235493|84|True|V|Maroon 5|spotify:artist:04gDigrS5kc9YWfZHwBETP|||2014-09-02
spotify:track:0JcKdUGNR7zI4jJDLyYXbi|Stuck Like Glue|0.702|0.795|-4.764|0.0568|0.329|0.0|0.0505|0.836|83.961|247586|72|False|The Incredible Machine|Sugarland|spotify:artist:0hYxQe3AK5jBPCr5MumLHD|||2010-01-01
spotify:track:0KKkJNfGyhkQ5aFogxQAPU|That's What I Like|0.853|0.56|-4.961|0.0406|0.013|0.0|0.0944|0.86|134.066|206693|86|False|24K Magic|Bruno Mars|spotify:artist:0du5cEVh5yTK9QJze8zA0C|||2016-11-17
spotify:track:2Bs4jQEGMycglOfWPBqrVG|Steal My Girl|0.536|0.768|-5.948|0.0347|0.00433|0.0|0.114|0.545|77.217|228133|83|False|FOUR (Deluxe)|One Direction|spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq|||2014-11-17
spotify:track:72Q0FQQo32KJloivv5xge2|I'm the One|0.599|0.667|-4.267|0.0367|0.0533|0.0|0.134|0.817|80.984|288876|1|True|I'm the One|DJ Khaled|spotify:artist:0QHgL1lAIqAw0HtD7YldmP|Justin Bieber|spotify:artist:1uNFoZAHBGtllmzznpCI3s|2017-04-27
spotify:track:59HjlYCeBsxdI0fcm3zglw|Wildest Dreams|0.554|0.666|-7.414|0.0747|0.0702|0.00593|0.106|0.472|140.056|220440|75|False|1989|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2014-10-27
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY|Young Dumb & Broke|0.799|0.539|-6.351|0.0421|0.199|1.66e-05|0.165|0.394|136.948|202546|84|False|American Teen|Khalid|spotify:artist:6LuN9FCkKOj5PcnpouEgny|||2017-04-27
spotify:track:1D1nixOVWOxvNfWi0UD7VX|Unwritten|0.706|0.8|-6.333|0.0399|0.00584|0.0|0.0822|0.629|100.011|259333|5|False|Unwritten|Natasha Bedingfield|spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a|||2004-09-06
spotify:track:3zSCNTXI7Ed0PiidZVmzIe|Ignition - Remix|0.778|0.549|-6.144|0.0473|0.0549|0.0|0.0724|0.802|133.041|186040|66|False|The Essential R. Kelly|R. Kelly|spotify:artist:2mxe0TnaNL039ysAj51xPQ|||2014-05-19
spotify:track:5tVA6TkbaAH9QMITTQRrNv|Free Fallin'|0.623|0.449|-13.333|0.0253|0.212|0.0|0.0613|0.572|84.383|256000|81|False|Full Moon Fever|Tom Petty|spotify:artist:2UZMlIwnkgAEDBsw1Rejkn|||1989-01-01
spotify:track:3yrSvpt2l1xhsV9Em88Pul|Brown Eyed Girl|0.491|0.583|-10.964|0.0376|0.185|0.0|0.406|0.908|150.566|183306|82|False|Blowin' Your Mind!|Van Morrison|spotify:artist:44NX2ffIYHr6D4n7RaZF7A|||1967-09
spotify:track:4fINc8dnfcz7AdhFYVA4i7|It Girl|0.668|0.718|-4.736|0.0605|0.0165|0.0|0.104|0.345|91.993|192200|75|False|Future History (Deluxe Edition)|Jason Derulo|spotify:artist:07YZf4WDAMNwqr4jfgOZ8y|||2011-09-16
spotify:track:0KpfYajJVVGgQ32Dby7e9i|Hey, Soul Sister|0.675|0.885|-4.432|0.0436|0.217|0.0|0.086|0.768|97.03|216666|0|False|Hey, Soul Sister|Train|spotify:artist:3FUY2gzHeIiaesXtOAdB7A|||2009-08-06
spotify:track:6QgjcU0zLnzq5OrUoSZ3OK|Feel It Still|0.801|0.795|-5.115|0.0504|0.0417|0.000113|0.0717|0.754|79.028|163253|80|False|Woodstock|Portugal. The Man|spotify:artist:4kI8Ie27vjvonwaB2ePh8T|||2017-06-16
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw|Closer|0.748|0.524|-5.599|0.0338|0.414|0.0|0.111|0.661|95.01|244960|88|False|Closer|The Chainsmokers|spotify:artist:69GGBxA162lTqCwzJG5jLp|Halsey|spotify:artist:26VFTg2z8YR0cCuwLzESi2|2016-07-29
spotify:track:1WkMMavIMc4JZ8cfMmxHkI|"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"|0.669|0.832|-5.721|0.0682|0.0106|0.0|0.0968|0.7|113.035|237546|76|False|TROLLS (Original Motion Picture Soundtrack)|Justin Timberlake|spotify:artist:31TPClRtHm23RisEBtV3X7|||2016-09-23
spotify:track:2q4rjDy9WhaN3o9MvDbO21|Kiss Me Thru The Phone|0.758|0.712|-3.781|0.112|0.0185|0.0|0.0677|0.795|149.998|193386|81|True|iSouljaBoyTellem|Soulja Boy|spotify:artist:6GMYJwaziB4ekv1Y6wCDWS|Sammie|spotify:artist:4p07QU02SrLsaORo25h2Lg|2008-01-01
spotify:track:32OlwWuMpZ6b0aN2RZOeMS|Uptown Funk (feat. Bruno Mars)|0.856|0.609|-7.223|0.0824|0.00801|8.15e-05|0.0344|0.928|114.988|269666|86|True|Uptown Special|Mark Ronson|spotify:artist:3hv9jJF3adDNsBSIQDqcjp|Bruno Mars|spotify:artist:0du5cEVh5yTK9QJze8zA0C|2015-01-12
spotify:track:1p80LdxRV74UKvL8gnD7ky|Blank Space|0.753|0.678|-5.421|0.0644|0.085|1.64e-06|0.13|0.583|96.006|231826|78|False|1989|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2014-10-27
spotify:track:7LcfRTgAVTs5pQGEQgUEzN|"Moves Like Jagger - Studio Recording From ""The Voice"" Performance"|0.722|0.758|-4.477|0.0471|0.0111|0.0|0.308|0.62|128.047|201160|73|False|Hands All Over|Maroon 5|spotify:artist:04gDigrS5kc9YWfZHwBETP|Christina Aguilera|spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS|2010
spotify:track:6F5c58TMEs1byxUstkzVeM|Roar|0.554|0.772|-4.821|0.0418|0.00487|6.6e-06|0.354|0.455|179.984|223546|77|False|PRISM (Deluxe)|Katy Perry|spotify:artist:6jJ0s89eD6GaHleKKya26X|||2013-10-18
spotify:track:7Cp69rNBwU0gaFT8zxExlE|Ymca|0.715|0.951|-6.488|0.132|0.152|0.0|0.302|0.671|126.643|284866|54|False|Was nicht passt, wird passend gemacht (Music Inspired By the Film)|Village People|spotify:artist:0dCKce6tJJdHvlWnDMwzPW|||2002
spotify:track:3GCL1PydwsLodcpv0Ll1ch|You Belong With Me|0.687|0.783|-4.44|0.0386|0.162|1.35e-05|0.114|0.443|129.964|231133|73|False|Fearless|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2008-11-11
spotify:track:0kYUrLVQOfx21xuXu7OGrT|All These Things That I've Done|0.557|0.728|-6.181|0.0405|0.00156|5.13e-06|0.118|0.216|118.241|301573|65|False|Hot Fuss|The Killers|spotify:artist:0C0XlULifJtAgn6ZNCW2eu|||2004-06-15
spotify:track:72jCZdH0Lhg93z6Z4hBjgj|I Knew You Were Trouble.|0.622|0.469|-6.798|0.0363|0.00454|2.25e-06|0.0398|0.679|77.019|217973|66|False|Red|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2012-10-22
spotify:track:76hfruVvmfQbw0eYn1nmeC|Cake By The Ocean|0.774|0.753|-5.446|0.0517|0.152|0.0|0.0371|0.896|119.002|219146|84|True|DNCE|DNCE|spotify:artist:6T5tfhQCknKG4UnH90qGnz|||2016-11-18
spotify:track:3TGRqZ0a2l1LRblBkJoaDx|Call Me Maybe|0.783|0.58|-6.548|0.0408|0.0114|2.28e-06|0.108|0.66|120.021|193400|75|False|Kiss (Deluxe)|Carly Rae Jepsen|spotify:artist:6sFIWsNpZYqfjUpaCgueju|||2012-01-01
spotify:track:3bIxTsfeNMO7Nt2J3EUKrA|22|0.658|0.729|-6.561|0.0378|0.00215|0.0013|0.0752|0.668|104.007|230133|61|False|Red (Deluxe Edition)|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2012-10-22
spotify:track:6tS3XVuOyu10897O3ae7bi|California Gurls|0.791|0.754|-3.729|0.0569|0.00446|0.0|0.163|0.425|125.014|234653|77|False|Teenage Dream: The Complete Confection|Katy Perry|spotify:artist:6jJ0s89eD6GaHleKKya26X|Snoop Dogg|spotify:artist:7hJcb9fa4alzcOq3EaNPoG|2012-03-12
spotify:track:6qnM0XXPZOINWA778uNqQ9|Welcome To New York|0.793|0.634|-4.807|0.0324|0.038|1.76e-06|0.304|0.615|117.024|212600|64|False|1989|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2014-10-27
spotify:track:15DeqWWQB4dcEWzJg15VrN|Our Song|0.668|0.672|-4.931|0.0303|0.111|0.0|0.329|0.539|89.011|201106|72|False|Taylor Swift|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2006-10-24
spotify:track:1vrd6UOGamcKNGnSHJQlSt|Love Story|0.618|0.741|-3.95|0.031|0.17|0.0|0.0822|0.296|118.984|235266|72|False|Fearless|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2008-11-11
spotify:track:4WXzzCof26KJLTK5kK53dS|Hey Stephen|0.841|0.544|-7.347|0.0309|0.194|2.48e-06|0.108|0.831|115.994|254306|52|False|Fearless|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2008-11-11
spotify:track:1fo2ctLqj3zBhRQKOXprol|Style|0.588|0.791|-5.595|0.0402|0.00245|0.00258|0.118|0.487|94.933|231000|66|False|1989 (Deluxe Edition)|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2014-10-27
spotify:track:5xTtaWoae3wi06K5WfVUUH|Shake It Off|0.647|0.785|-5.414|0.165|0.0561|0.0|0.148|0.943|160.015|219200|75|False|1989|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2014-10-27
spotify:track:5yEPktRqvIhko5QFF3aBhQ|Mean|0.568|0.761|-3.987|0.0459|0.452|0.0|0.217|0.789|163.974|237733|68|False|Speak Now|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2010-10-25
spotify:track:0CLnkxpa3M4eA3HeGaERat|Gorgeous|0.794|0.537|-6.865|0.169|0.079|4.98e-06|0.227|0.418|92.022|209680|0|False|Gorgeous|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2017-10-20
spotify:track:7zMcNqs55Mxer82bvZFkpg|Teardrops On My Guitar - Radio Single Remix|0.621|0.417|-6.941|0.0231|0.288|0.0|0.119|0.289|99.953|203040|68|False|Taylor Swift|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2006-10-24
spotify:track:3U4isOIWM3VvDubwSI3y7a|All of Me|0.422|0.264|-7.064|0.0322|0.922|0.0|0.132|0.331|119.93|269560|89|False|Love In The Future (Expanded Edition)|John Legend|spotify:artist:5y2Xq6xcjJb2jVM54GHK3t|||2013-08-30
spotify:track:6GmUVqe73u5YRfUUynZK6I|Let Her Go|0.479|0.545|-7.346|0.0688|0.365|0.0|0.0963|0.244|74.897|252733|0|False|All the Little Lights|Passenger|spotify:artist:0gadJ2b9A4SKsB1RFkBb66|||2012-06-29
spotify:track:5Db9VIdDsN5yu3Eu7CT0i4|Stay With Me|0.479|0.419|-6.517|0.0389|0.568|0.000217|0.11|0.186|85.014|172723|0|False|In The Lonely Hour|Sam Smith|spotify:artist:2wY79sveU1sp5g7SokKOiI|||2014-01-01
spotify:track:1VdZ0vKfR5jneCmWIUAMxK|The A Team|0.642|0.289|-9.918|0.0367|0.669|0.0|0.18|0.407|84.996|258373|79|False|+|Ed Sheeran|spotify:artist:6eUKZXaKkcviH0Ku9w2n3V|||2011-09-09
spotify:track:1jYiIOC5d6soxkJP81fxq2|I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)|0.599|0.667|-4.267|0.0367|0.0533|0.0|0.134|0.817|80.984|288876|69|True|Grateful|DJ Khaled|spotify:artist:0QHgL1lAIqAw0HtD7YldmP|Justin Bieber|spotify:artist:1uNFoZAHBGtllmzznpCI3s|2017-06-22
spotify:track:2JZKXgq5zsokN01KWyiY6n|Mirrors|0.574|0.512|-6.664|0.0503|0.234|0.0|0.0946|0.512|76.899|484146|0|False|The 20/20 Experience|Justin Timberlake|spotify:artist:31TPClRtHm23RisEBtV3X7|||2013-03-15
spotify:track:4lCv7b86sLynZbXhfScfm2|Firework|0.638|0.826|-4.968|0.0479|0.139|0.0|0.0803|0.649|124.072|227880|76|False|Teenage Dream: The Complete Confection|Katy Perry|spotify:artist:6jJ0s89eD6GaHleKKya26X|||2012-03-12
spotify:track:0tgVpDi06FyKpA1z0VMD4v|Perfect|0.599|0.448|-6.312|0.0232|0.163|0.0|0.106|0.168|95.05|263400|89|False|÷ (Deluxe)|Ed Sheeran|spotify:artist:6eUKZXaKkcviH0Ku9w2n3V|||2017-03-03
spotify:track:4B0JvthVoAAuygILe3n4Bs|What Do You Mean?|0.845|0.567|-8.118|0.0956|0.59|0.00142|0.0811|0.793|125.02|205680|81|False|Purpose (Deluxe)|Justin Bieber|spotify:artist:1uNFoZAHBGtllmzznpCI3s|||2015-11-13
spotify:track:3Du2K5dLzmduCNp6uwuaL0|Sorry Not Sorry|0.702|0.635|-6.917|0.265|0.0223|0.0|0.283|0.873|144.004|203760|2|True|Tell Me You Love Me|Demi Lovato|spotify:artist:6S2OmqARrzebs0tKUEyXyp|||2017-09-29
spotify:track:6D60klaHqbCl9ySc8VcRss|Stronger (What Doesn't Kill You)|0.562|0.939|-4.282|0.0475|0.046|0.0|0.112|0.684|116.044|221946|70|False|Stronger (Deluxe Version)|Kelly Clarkson|spotify:artist:3BmGtnKgCSGYIUhmivXKWX|||2011-10-24
spotify:track:2dWgzqawzDkBL8QfZw92Ub|In Case You Didn't Know|0.596|0.544|-7.294|0.0315|0.397|0.0|0.106|0.393|147.976|224853|0|False|Brett Young EP|Brett Young|spotify:artist:0fiWOxhsBsQQvFDtxUQWo0|||2016-01-01
spotify:track:3IPkbTA8KkdDXyWtGkfFXa|Singles You Up|0.635|0.903|-3.588|0.0323|0.0472|0.0|0.255|0.559|100.08|182693|55|False|Singles You Up|Jordan Davis|spotify:artist:77kULmXAQ6vWer7IIHdGzI|||2017-05-26
spotify:track:6zLdXcmvIxnAXpz9sXFnIE|Craving You|0.612|0.841|-3.795|0.0353|0.000907|0.0|0.37|0.499|104.986|227373|0|False|Craving You|Thomas Rhett|spotify:artist:6x2LnllRG5uGarZMsD4iO8|Maren Morris|spotify:artist:6WY7D3jk8zTrHtmkqqo5GI|2017-03-31
spotify:track:2Nc8Imt04W3ZmcBF8dPQKc|All On Me|0.631|0.658|-5.313|0.0281|0.144|0.0|0.22|0.7|80.996|227572|0|False|All On Me|Devin Dawson|spotify:artist:2ySHS7UojGu20XfUPaBlyu|||2017-02-17
spotify:track:6znSbsDDFdBZaiucjUGaWy|Light It Up|0.596|0.935|-2.794|0.0855|0.129|0.0|0.108|0.678|130.029|177292|0|False|Light It Up|Luke Bryan|spotify:artist:0BvkDsjIUla7X0k6CSWh1I|||2017-08-23
spotify:track:30MM5jWpUmOxtTNd9Ey5LZ|Unforgettable|0.661|0.75|-5.497|0.0314|0.0303|0.000132|0.0849|0.828|130.077|157080|70|False|Life Changes|Thomas Rhett|spotify:artist:6x2LnllRG5uGarZMsD4iO8|||2017-09-08
spotify:track:2n5ZD87XQ2yvIxGjoYbUmZ|I'll Name the Dogs|0.47|0.852|-5.874|0.0933|0.163|2.04e-06|0.281|0.773|168.063|183200|51|False|I'll Name the Dogs|Blake Shelton|spotify:artist:1UTPBmNbXNTittyMJrNkvw|||2017-09-08
spotify:track:0kdiUZDcLIFw0Buo9r0Q4z|Greatest Love Story|0.665|0.621|-8.571|0.0524|0.38|0.0|0.119|0.632|147.975|222400|0|False|LANCO - EP|LANCO|spotify:artist:2lRH2dgU5Kk4Bc5phmII4T|||2016-04-15
spotify:track:6UsoV6X96Rox9mfxoz7SFy|You Broke Up with Me|0.846|0.711|-7.939|0.061|0.496|0.0|0.247|0.883|120.013|197840|57|False|You Broke Up with Me|Walker Hayes|spotify:artist:7sKxqpSqbIzphAKAhrqvlf|||2017-01-27
spotify:track:1mJMD1VIQ7jWTP9DK2zmY0|Kiss Somebody|0.492|0.681|-7.038|0.075|0.143|0.0|0.199|0.511|178.01|212445|57|False|Kiss Somebody|Morgan Evans|spotify:artist:6fzQ81ouajOEFqCIB9VwrS|||2017-07-21
spotify:track:3T6MAweakkNrMYs8jZIWtg|Like I Loved You|0.582|0.568|-6.051|0.0297|0.196|0.0|0.0841|0.64|76.025|207186|67|False|Brett Young|Brett Young|spotify:artist:0fiWOxhsBsQQvFDtxUQWo0|||2017-02-10
spotify:track:1KTLLe980WR4RLKg74Ud6e|The Long Way|0.488|0.637|-7.63|0.0401|0.265|0.0|0.106|0.23|88.872|208653|38|False|The Long Way|Brett Eldredge|spotify:artist:0qSX3s5pJnAlSsgsCne8Cz|||2017-05-12
spotify:track:7iDa6hUg2VgEL1o1HjmfBn|Meant to Be (feat. Florida Georgia Line)|0.643|0.783|-6.458|0.0856|0.047|0.0|0.083|0.579|154.084|163870|79|False|All Your Fault: Pt. 2|Bebe Rexha|spotify:artist:64M6ah0SkkRsnPGtGiRAbb|Florida Georgia Line|spotify:artist:3b8QkneNDz4JHKKKlLgYZg|2017-08-11
spotify:track:4oeGQb7zAVNRkpjjoNHK5K|Getting Over You|0.442|0.784|-4.001|0.0344|0.0527|0.0|0.0597|0.552|170.139|173186|0|False|Getting Over You|Jackie Lee|spotify:artist:25MYbTsDB9aQ70l6VqNKOR|||2016-10-21
spotify:track:0OWZFobGSIW9GrSlQ9C5pc|Marry Me|0.333|0.412|-8.633|0.029|0.0977|0.0|0.113|0.474|85.028|205453|73|False|Life Changes|Thomas Rhett|spotify:artist:6x2LnllRG5uGarZMsD4iO8|||2017-09-08
spotify:track:7zVCrzzEJU7u24sbJPXA5W|What Ifs (feat. Lauren Alaina)|0.612|0.799|-4.603|0.0275|0.00898|0.0|0.172|0.687|125.976|188253|76|False|Kane Brown|Kane Brown|spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE|Lauren Alaina|spotify:artist:1v3tdpIdBSW14rHUfiEVOv|2016-12-02
spotify:track:3I7krC8kr0gFR7P6vInR1I|Do I Make You Wanna|0.553|0.747|-5.432|0.0279|0.106|0.0|0.154|0.521|90.012|234306|69|False|Summer Forever|Billy Currington|spotify:artist:1By9QBFnjZAoI83BZppHlt|||2015-06-02
spotify:track:5Zx1zVpDJsNgyY3HvNfsfC|Happens Like That|0.557|0.807|-5.428|0.0825|0.189|0.0|0.234|0.578|81.045|171493|0|False|Happens Like That|Granger Smith|spotify:artist:4sTFGCigAQIUiEy8wSSQNF|||2017-05-19
spotify:track:6OUdBkpAQtKyZ74cKukZ9W|We Were That Song|0.618|0.911|-3.323|0.05|0.216|0.0|0.132|0.501|102.956|200280|0|False|We Were That Song|Brett Kissel|spotify:artist:6VOaUBrKfzd49nIAzjVKmm|||2017-09-10
spotify:track:7LP4Es66zdY7CyjepqmvAg|Down|0.657|0.695|-4.493|0.0321|0.0108|0.0|0.0822|0.683|65.997|212106|5|False|All Or Nothing|Jay Sean|spotify:artist:4pADjHPWyrlAF0FA7joK2H|Lil Wayne|spotify:artist:55Aa2cqylxrFIXC767Z865|2009-01-01
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM|Hey Ya!|0.727|0.974|-2.261|0.0664|0.103|0.000532|0.174|0.965|79.526|235213|84|False|Speakerboxxx/The Love Below|Outkast|spotify:artist:1G9G7WwrXka3Z1r7aIDjI7|||2003
spotify:track:6WLS56xiRrXjSm9RSdL3zD|Never Forget You|0.583|0.732|-5.728|0.0457|0.00312|9.86e-06|0.269|0.276|145.992|213427|0|False|Never Forget You|Zara Larsson|spotify:artist:1Xylc3o4UrD53lo9CvFvVg|MNEK|spotify:artist:7uMh23xWiuR7zsNkuNcm2G|2015-09-10
spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P|I Took A Pill In Ibiza - Seeb Remix|0.664|0.714|-6.645|0.111|0.0353|8.42e-06|0.0843|0.71|101.969|197933|75|True|At Night, Alone.|Mike Posner|spotify:artist:2KsP6tYLJlTBvSUxnwlVWa|Seeb|spotify:artist:5iNrZmtVMtYev5M9yoWpEq|2016-05-06
spotify:track:2vwlzO0Qp8kfEtzTsCXfyE|Wrecking Ball|0.53|0.422|-6.262|0.0342|0.407|0.0|0.107|0.349|119.964|221360|81|False|Bangerz (Deluxe Version)|Miley Cyrus|spotify:artist:5YGY8feqx7naU7z4HrwZM6|||2013-10-04
spotify:track:3DmW6y7wTEYHJZlLo1r6XJ|Shower|0.699|0.529|-7.548|0.0487|0.0317|3.59e-05|0.285|0.121|119.987|206166|81|False|Shower|Becky G|spotify:artist:4obzFoKoKRHIphyHzJ35G3|||2014-04-23
spotify:track:12GEpg2XOPyqk03JZEZnJs|It Ain’t Me (with Selena Gomez)|0.64|0.533|-6.596|0.0706|0.119|0.0|0.0864|0.515|99.968|220780|69|False|It Ain't Me|Kygo|spotify:artist:23fqKkggKUBHNkbKtXEls4|Selena Gomez|spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx|2017-02-17
spotify:track:5KONnBIQ9LqCxyeSPin26k|Trumpets|0.635|0.691|-4.862|0.258|0.555|0.0|0.097|0.638|82.142|217419|68|False|Talk Dirty|Jason Derulo|spotify:artist:07YZf4WDAMNwqr4jfgOZ8y|||2013-09-10
spotify:track:6Iocm6VMu6bVNYwiDoyQFW|Coming Home|0.392|0.839|-1.921|0.193|0.158|0.0|0.3|0.232|168.001|238693|73|False|Last Train To Paris|Diddy - Dirty Money|spotify:artist:2QYEvpsWUOjqaYuxDPTCmV|Skylar Grey|spotify:artist:4utLUGcTvOJFr6aqIJtYWV|2010-01-01
spotify:track:5knuzwU65gJK7IF5yJsuaW|Rockabye (feat. Sean Paul & Anne-Marie)|0.72|0.763|-4.068|0.0523|0.406|0.0|0.18|0.742|101.965|251088|80|False|Rockabye (feat. Sean Paul & Anne-Marie)|Clean Bandit|spotify:artist:6MDME20pz9RveH9rEXvrOM|Sean Paul|spotify:artist:3Isy6kedDrgPYoTS1dazA9|2016-10-21
spotify:track:6epn3r7S14KUqlReYr77hA|Baby|0.728|0.859|-5.237|0.137|0.0401|0.0|0.111|0.535|65.043|214240|84|False|My World 2.0|Justin Bieber|spotify:artist:1uNFoZAHBGtllmzznpCI3s|Ludacris|spotify:artist:3ipn9JLAPI5GUEo4y4jcoi|2010-01-01
spotify:track:49FYlytm3dAAraYgpoJZux|Umbrella|0.583|0.829|-4.603|0.134|0.00864|0.0|0.0426|0.575|174.028|275986|85|False|Good Girl Gone Bad: Reloaded|Rihanna|spotify:artist:5pKCCKE2ajJHZ9KAiaK11H|JAY-Z|spotify:artist:3nFkdlSjzX9mRTtwJOzDYB|2008-06-02
